Estación,Ciudad,Tipo de carga,Horario,Dirección,Estándar Cargador,Coordenadas
Punto Cero,Medellín,Información no disponible,24 horas,DG 64E CL 67-405,Información no disponible,"6.26913, -75.57545"
Exposiciones,Medellín,Información no disponible,24 horas,CL 36 # 53-67,Información no disponible,"6.23825, -75.57453"
Bolivariana,Medellín,Información no disponible,24 horas,AV 33 # 66A-21,Información no disponible,"6.23937, -75.58659"
La 30,Medellín,Información no disponible,6:00 am a 10:00 pm,CR 65 # 30-40,Información no disponible,"6.23240, -75.58206"
Belén,Medellín,Información no disponible,24 horas,CL 30A # 69C-11,Información no disponible,"6.23186, -75.59094"
Mayorca,Sabaneta,Información no disponible,24 horas,CL 57 SUR # 48-25,Información no disponible,"6.15896, -75.60821"
Aeropuerto JMC,Rionegro,Información no disponible,24 horas,Km 1 vía aeropuerto Rionegro - Medellín,Información no disponible,"6.17926, -75.44218"
Navarra,Apartadó,Información no disponible,24 horas,CR 100 # 73A-12,Información no disponible,"7.86733, -76.63592"
Tasajera,Barbosa,Llenado rápido,24 horas,Autopista Norte Km 23,Información no disponible,"6.40871, -75.41951"
Universidad de Medellín,Medellín,Llenado rápido,24 horas,CR 87 # 30-65,Información no disponible,"6.23110, -75.60859"
